Table_A,Column_A,Table_B,Column_B,label,result
l_recording_recording,entity0_credit,release_status,description,0,0
work_alias,work,work,id,1,0
l_artist_work,entity0,artist,id,1,0
l_artist_series,entity1,series,id,1,0
editor_collection_area,area,area,id,1,0
l_event_release_group,link,link,id,1,0
medium_cdtoc,cdtoc,cdtoc,id,1,0
l_place_place,entity1,place,id,1,0
l_area_release,entity1_credit,recording_alias_type,name,0,0
l_area_url,link,link,id,1,1
l_event_label,entity1,label,id,1,0
label_annotation,annotation,annotation,id,1,0
alternative_release_type,description,release_alias_type,name,0,0
place_gid_redirect,new_id,place,id,1,0
series_annotation,annotation,annotation,id,1,0
editor_collection,type,editor_collection_type,id,1,0
l_release_group_url,entity0,release_group,id,1,1
l_recording_release,entity1_credit,area_type,description,0,0
l_artist_place,entity1,place,id,1,0
series,ordering_type,series_ordering_type,id,1,0
area_annotation,area,area,id,1,0
recording_series,relationship,l_recording_series,id,0,0
l_release_group_url,entity1_credit,event_type,description,0,0
l_label_release,entity1,release_meta,id,0,1
l_place_recording,link,link,id,1,0
label_rating_raw,editor,editor,id,1,0
recording_alias_type,id,recording_alias,id,0,0
work_attribute,work_attribute_type,work_attribute_type,id,1,1
recording_tag_raw,tag,tag,id,1,0
l_event_place,link,link,id,1,1
link_attribute_credit,link,link,id,1,0
instrument_annotation,instrument,work_attribute_type_allowed_value,id,0,0
l_area_genre,entity0_credit,instrument_alias_type,name,0,0
l_event_work,entity0_credit,release_group_secondary_type,name,0,0
l_event_label,entity0_credit,series_alias_type,name,0,0
editor_collection_series,comment,release_alias_type,name,0,0
link,link_type,link_type,id,1,0
medium_cdtoc,medium,medium,id,1,0
gender,child_order,genre,id,0,0
release_tag_raw,editor,editor,id,1,0
l_place_place,entity0,place,id,1,0
l_area_release,entity1_credit,release_status,description,0,0
l_recording_release,entity0_credit,release_group_secondary_type,description,0,0
l_event_recording,entity0_credit,area_alias_type,name,0,0
l_place_recording,entity0,place,id,1,1
label_isni,label,label,id,1,0
l_release_release,entity1_credit,release_group_secondary_type,description,0,0
release_group_alias,release_group,release_group,id,1,0
work_attribute_type,comment,release_packaging,name,0,0
link_attribute_text_value,attribute_type,link_text_attribute_type,attribute_type,1,0
artist_type,id,event_type,id,0,0
work_rating_raw,editor,editor,id,1,0
l_artist_series,entity1_credit,artist_alias_type,name,0,0
orderable_link_type,link_type,work_attribute_type_allowed_value,id,0,0
place_annotation,place,place,id,1,0
l_area_event,link,link,id,1,0
release_group_alias_type,id,l_area_area,id,0,0
instrument_tag,count,area_type,child_order,0,0
l_area_series,entity0_credit,release_group_secondary_type,description,0,0
l_area_recording,entity1_credit,event_type,description,0,0
l_label_place,entity0_credit,area_alias_type,name,0,0
release_group_tag_raw,editor,editor,id,1,0
release_group_alias_type,id,work_type,id,0,0
l_place_recording,entity1_credit,alternative_release_type,name,0,0
l_recording_work,link,link,id,1,0
release,artist_credit,artist_credit,id,1,0
l_work_work,edits_pending,series_ordering_type,child_order,0,0
l_label_work,entity1_credit,event_type,description,0,0
editor_collection_recording,comment,release_alias_type,name,0,0
editor_collection_artist,collection,editor_collection,id,1,0
l_artist_work,link,link,id,1,0
l_release_release,link,link,id,1,0
label_tag,tag,tag,id,1,0
area_type,child_order,work_attribute_type_allowed_value,id,0,0
instrument_alias,instrument,instrument,id,1,0
release_group_secondary_type_join,secondary_type,work_attribute_type_allowed_value,id,0,0
editor_subscribe_label,label,label,id,1,1
editor_subscribe_label,editor,editor,id,1,0
l_area_instrument,entity1,instrument,id,1,1
l_event_recording,entity1_credit,recording_alias_type,name,0,0
editor_subscribe_artist,artist,artist,id,1,0
editor_collection_recording,comment,series_type,description,0,0
work_tag_raw,editor,editor,id,1,0
l_release_group_url,entity1,url,id,1,0
l_artist_recording,entity0,artist,id,1,0
artist_annotation,annotation,annotation,id,1,0
artist_isni,artist,artist_meta,id,0,0
l_event_series,entity1_credit,release_status,description,0,0
series_alias,series,series,id,1,0
l_event_work,link,link,id,1,1
l_place_series,entity1,series,id,1,1
editor_collection_type,child_order,gender,child_order,0,0
work_gid_redirect,new_id,work,id,1,0
l_event_url,link,link,id,1,1
artist_gid_redirect,new_id,artist,id,1,0
editor_collection_type,child_order,l_artist_work,id,0,0
event_alias_type,id,area_alias,id,0,0
l_event_release,link,link,id,1,1
release_group_tag,release_group,release_group,id,1,0
l_recording_release,entity1,release,id,1,0
